部分,考试类型,问题类型,问答对,三元组
高考学考,春考,志愿篇,问：春考志愿在哪里填报？答：具备春考志愿填报资格的考生可在规定时间内，登录上海市教育考试院“上海招考热线”网站（www.shmeea.edu.cn）—首页—填报志愿。,"['（上海招考热线，属于，上海市教育考试院）', '（上海招考热线，网址，www.shmeea.edu.cn）', '（首页，属于，上海招考热线）', '（填报志愿，位于，首页）', '（考生，登录，上海招考热线）', '（填报志愿，需在，规定时间内）']"
高考学考,艺术类统一考试,录取相关篇,问：参加春考后是否只要填报了志愿就可以等待录取结果？答：不是。春考填报志愿后还需要参与院校的自主测试，查看自己取得的预录取和候补录取的资格，进行预录取及候补资格网上确认。,[]
高考学考,艺术类统一考试,录取相关篇,问：什么是院校的自主测试？答：招生院校自主开展的测试。原则上为1门科目，采用为面试、技能测试、专业素质综合测试以及笔试面试相结合的方式进行，总分为150分。各招生院校将于规定时间在院校自己的网站上公布划定的各专业自主测试资格线。只有成绩达到所填报院校专业的自主测试资格线，才具备参加该院校专业的自主测试资格。注：2024年春考院校公布时间在2月22日。,"['（招生院校，开展，院校的自主测试）', '（院校的自主测试，采用，面试）', '（院校的自主测试，采用，技能测试）', '（院校的自主测试，采用，专业素质综合测试）', '（院校的自主测试，采用，笔试面试相结合的方式）', '（院校的自主测试，总分为，150分）', '（招生院校，公布，自主测试资格线）', '（专业，具有，自主测试资格线）', '（成绩，需达到，自主测试资格线）', '（2024年春考院校公布时间，在，2月22日）']"
高考学考,艺术类统一考试,录取相关篇,问：招生院校各专业的自主测试资格线是怎样划定的？答：春考志愿填报结束后，市教育考试院将考生信息投档至所填报院校。各校根据事先公布的招生章程、填报志愿考生成绩及公布的招生计划按相应比例划定各专业的自主测试资格线。根据市教委文件规定，各院校确定自主测试资格线时必须遵守以下原则：即公办院校通知参加自主测试的考生数不得超过公布计划数的2倍，民办院校通知参加自主测试的考生数不得超过公布计划数的3倍。,"['（市教育考试院，投档，考生信息）', '（各校，划定，自主测试资格线）', '（各校，根据，招生章程）', '（各校，根据，填报志愿考生成绩）', '（各校，根据，招生计划）', '（市教委，规定，公办院校）', '（市教委，规定，民办院校）', '（公办院校，考生数不得超过，公布计划数的2倍）', '（民办院校，考生数不得超过，公布计划数的3倍）']"
高考学考,艺术类统一考试,录取相关篇,问：考生志愿填报了2所院校的专业，是2所院校的自主测试都要参加吗？答：若考生同时达到了所报考的两个专业志愿的自主测试资格线，可根据自身情况合理选择自主测试时间，参加两所院校（或同一院校的两个专业）组织的自主测试。,"['（考生，填报，志愿）', '（志愿，包含，院校）', '（志愿，包含，专业）', '（考生，参加，自主测试）', '（自主测试，由...组织，院校）', '（专业，属于，院校）', '（考生，达到，资格线）', '（资格线，是参加条件，自主测试）', '（考生，选择，测试时间）']"
高考学考,艺术类统一考试,录取相关篇,问：考生志愿填报了1所院校的2个专业，只需参加一次自主测试吗？答：考生在参加自主测试前务必仔细对照各招生院校的招生章程了解相关信息。填报同一所院校两个专业志愿的考生，若两个专业的自主测试方式及内容不同，须根据招生院校的安排分别参加两个专业的自主测试。,"['（高考学考，包含，艺术类统一考试）', '（艺术类统一考试，关联，录取）', '（考生，填报，志愿）', '（志愿，涉及，院校）', '（志愿，涉及，专业）', '（考生，参加，自主测试）', '（自主测试，由...安排，招生院校）', '（招生章程，属于，招生院校）', '（考生，对照，招生章程）']"
高考学考,艺术类统一考试,录取相关篇,问：考生若获得院校自主测试资格，如何选择自主测试时间地点？答：已完成专业志愿填报且统一文化考试成绩总分达到所填报院校专业自主测试资格线的考生即获得相应院校专业的自主测试资格。考生须在规定时间登录相应院校网站选择自主测试时间和地点。注：2024年自主测试选择填报时间是在2月23-24日。,[]
高考学考,艺术类统一考试,录取相关篇,问：取得自主测试资格的考生必须要参加该项测试吗？答：根据市教委文件规定，考生获得院校自主测试资格后，若缺考院校自主测试（包括未选择院校自主测试时间和地点并缺考、选择院校自主测试时间和地点后缺考等情况），其院校自主测试成绩均按零分计入春考总分，并参与院校后续录取排序。考生在填报春考志愿时须根据自己的兴趣和意愿，理性谨慎填报。填报志愿后如因故未能参加院校自主测试，若总分（统一文化成绩+院校自主测试成绩）在综合排序中靠前，也存在被院校录取的可能。,"['（录取相关篇，关联，高考学考）', '（录取相关篇，关联，艺术类统一考试）', '（考生，获得，自主测试资格）', '（院校自主测试成绩，计入，春考总分）', '（考生，参与，录取排序）', '（考生，填报，春考志愿）', '（春考志愿，基于，兴趣）', '（春考志愿，基于，意愿）', '（总分，包含，统一文化成绩）', '（总分，包含，院校自主测试成绩）', '（总分，参与，综合排序）', '（综合排序，影响，院校录取）']"
高考学考,艺术类统一考试,录取相关篇,问：如何确定自己是否取得了招生院校的预录取和候补录取名单？答：各招生院校根据事先公布的招生章程，按照统一文化考试成绩和院校自主测试成绩，并参考普通高中学生综合素质评价信息择优录取，确定预录取和候补录取考生名单，候补录取考生公示数的比例不超过各校公布计划数的50%，具体比例由各校自行确定。招生院校按规定在学校网站公示预录取考生名单和候补录取考生名单。考生须及时查看报考院校网站的相关信息，以免错过确认录取的时间。注：2024年名单公布时间是在3月6日-12日。,"['（招生院校，根据，统一文化考试成绩）', '（招生院校，根据，院校自主测试成绩）', '（招生院校，参考，普通高中学生综合素质评价信息）', '（招生院校，确定，预录取考生名单）', '（招生院校，确定，候补录取考生名单）', '（招生院校，公示，预录取考生名单）', '（招生院校，公示，候补录取考生名单）', '（预录取考生名单，公示于，学校网站）', '（候补录取考生名单，公示于，学校网站）', '（考生，查看，报考院校网站）', '（2024年名单公布时间，在，3月6日-12日）']"
高考学考,艺术类统一考试,录取相关篇,问：招生院校的预录取及候补规则是如何确定的？答：考生可登录“上海招考热线”网站（www.shmeea.edu.cn）—首页—高考学考—春季高考栏目查看“转载：20XX年上海市普通高等学校春季考试招生章程”，内有各院校详细的录取规则。,"['（上海招考热线，拥有网址，www.shmeea.edu.cn）', '（高考学考，包含，艺术类统一考试）', '（高考学考，包含，录取）', '（高考学考，包含栏目，春季高考）', '（春季高考，可查看，转载：20XX年上海市普通高等学校春季考试招生章程）', '（转载：20XX年上海市普通高等学校春季考试招生章程，包含，录取规则）', '（招生院校，制定，录取规则）', '（录取规则，包括，预录取）', '（录取规则，包括，候补规则）']"
